nsteps       simpsons                    milne
5          0.000219453729121459        1.3431921033497e-05
9          1.39407299704506e-05        2.39863360509142e-07
13          2.7622105571801e-06        2.15771675061919e-08
17          8.74926644295573e-07        3.87308889364535e-09
21          3.58549741089659e-07        1.01931156253423e-09
25          1.72958874608272e-07        3.42095843520726e-10
29          9.33742508631955e-08        1.35839722160908e-10
33          5.47401172040082e-08        6.10152721258543e-11
37          3.41764878882083e-08        3.01145794915978e-11
41          2.24243688722761e-08        1.60106091539011e-11
45          1.53167394707378e-08        9.04014391794646e-12
49          1.08149587923679e-08        5.36459330813146e-12
53          7.85211109272019e-09        3.3194413561906e-12
57          5.83788593236993e-09        2.12832272243415e-12
61          4.43005445745264e-09        1.40698530273053e-12
65          3.42215254107096e-09        9.55284690958846e-13
69          2.68527036286178e-09        6.6458005080366e-13
73          2.13647220016146e-09        4.7103899508109e-13
77          1.72098043140852e-09        3.41173103913873e-13
81          1.40175827922237e-09        2.50770092508124e-13
85          1.15323552696647e-09        1.86780482695706e-13
89          9.57428893166762e-10        1.41500365678565e-13
93          8.01470806236303e-10        1.08326391058368e-13
97          6.76013437573117e-10        8.37996610074168e-14
101          5.74171851051169e-10        6.60335039833303e-14
121          2.76899392811699e-10        2.24828358800387e-14
141          1.4946447792684e-10        8.64724456924564e-15
161          8.76132530850827e-11        3.30167519916652e-15
181          5.46969663530493e-11        2.20111679944434e-15
201          3.58868510755121e-11        1.88667154238087e-15
221          2.45110077880981e-11        4.71667885595217e-16
241          1.73067525035168e-11        3.14445257063478e-16
261          1.2565075249628e-11        1.10055839972217e-15
281          9.34122525158474e-12        6.28890514126956e-16
301          7.08885387523904e-12        3.14445257063478e-16
321          5.47590692913194e-12        1.57222628531739e-16
341          4.2957938793727e-12        0
361          3.41927772530826e-12        1.57222628531739e-16
381          2.75296822559075e-12        6.28890514126956e-16
401          2.24230912811966e-12        3.14445257063478e-16
421          1.8472086626194e-12        6.28890514126956e-16
441          1.53056228875648e-12        3.14445257063478e-16
461          1.28325109407605e-12        6.28890514126956e-16
481          1.0818489069269e-12        4.71667885595217e-16
501          9.17551260111228e-13        7.86113142658695e-16
521          7.86270365287226e-13        1.41500365678565e-15
541          6.7448507640116e-13        1.10055839972217e-15
561          5.82981506595688e-13        1.25778102825391e-15
581          5.07357422271921e-13        6.28890514126956e-16
601          4.43839480345099e-13        1.10055839972217e-15
621          3.8881156035899e-13        1.57222628531739e-15
641          3.43059775456254e-13        1.10055839972217e-15
661          3.01395778895343e-13        6.28890514126956e-16
681          2.68379026903678e-13        1.10055839972217e-15
701          2.38821172739711e-13        1.25778102825391e-15
721          2.13036661660506e-13        4.71667885595217e-16
741          1.9165438418019e-13        1.72944891384913e-15
761          1.72001555613722e-13        4.71667885595217e-16
781          1.55964847503485e-13        7.86113142658695e-16
801          1.40871475164438e-13        6.28890514126956e-16
821          1.25463657568328e-13        1.25778102825391e-15
841          1.14458073571106e-13        3.14445257063478e-16
861          1.05653606373329e-13        1.25778102825391e-15
881          9.51196902617021e-14        1.57222628531739e-16
901          8.61580004353929e-14        6.28890514126956e-16
921          7.95546500370599e-14        7.86113142658695e-16
941          7.45235259240442e-14        6.28890514126956e-16
961          6.6819617125989e-14        3.14445257063478e-16
981          6.30462740412273e-14        3.14445257063478e-16
1001          5.86440404423386e-14        9.43335771190434e-16
1077          4.33934454747599e-14        6.28890514126956e-16
1153          3.17589709634113e-14        9.43335771190434e-16
1229          2.59417337077369e-14        4.71667885595217e-16
1305          1.91811606808721e-14        2.67278468503956e-15
1381          1.58794854817056e-14        1.57222628531739e-15
1457          1.47789270819835e-14        3.14445257063478e-15
1533          8.80446719777738e-15        1.57222628531739e-15
1609          1.00622482260313e-14        1.41500365678565e-15
1685          7.70390879805521e-15        7.86113142658695e-16
1761          5.81723725567434e-15        1.88667154238087e-15
1837          4.71667885595217e-15        3.61612045623e-15
1913          4.08778834182521e-15        2.20111679944434e-15
1989          1.57222628531739e-15        6.28890514126956e-16
2065          5.03112411301565e-15        3.14445257063478e-16
2141          3.30167519916652e-15        1.57222628531739e-15
2217          7.86113142658695e-16        1.88667154238087e-15
2293          2.20111679944434e-15        2.04389417091261e-15
2369          2.98722994210304e-15        1.88667154238087e-15
2445          2.04389417091261e-15        2.98722994210304e-15
2521          2.98722994210304e-15        3.14445257063478e-16
